transform,dtype,beta,rapidity,angle,num_samples,relative_l2_mean,relative_l2_p10,relative_l2_p90,relative_l2_max,max_absolute_mean,max_absolute_max
rotation_fixed_axis,float32,,,5.340707511102648,48,130.60243727705873,4.0169102988746035,416.9269362100888,1349.607993321385,376.67750163160963,3440.927861297091
rotation_fixed_axis,float32,,,5.497787143782138,48,106.97497781889608,3.679780227851243,169.36895853278085,1310.4486554325783,314.3531861320364,3554.193744459182
rotation_fixed_axis,float32,,,5.654866776461628,48,77.5947102123131,3.62864290630782,107.13689058492348,1018.8708251199953,224.19693638401841,2836.956791515123
rotation_fixed_axis,float32,,,5.811946409141117,48,28.2001067336238,2.665406567612353,63.622027892088674,380.3341770723761,71.71650618878749,1019.347435789483
rotation_fixed_axis,float32,,,5.969026041820607,48,19.953613294693838,1.1877802889927227,49.05859173333153,166.75088766076877,53.80615907404333,575.635818553624
rotation_fixed_axis,float32,,,6.126105674500097,48,15.88682023722054,0.6804518287204396,19.331344611649502,365.02884192841975,37.910358820032,316.4320353261246
rotation_fixed_axis,float32,,,6.283185307179586,48,6.990970420996126e-13,1.5478071519218987e-14,6.725665336471125e-13,2.2208446392052156e-11,2.351534476400611e-12,4.191136326880951e-11
boost,float64,0.0,0.0,,48,0.0,0.0,0.0,0.0,0.0,0.0
boost,float64,0.02475,0.024755055498840526,,48,2.2079559450804914e-12,8.959461239915727e-14,2.9838470140827834e-12,4.19950207115376e-11,1.0877601626148778e-11,1.6682744075069422e-10
boost,float64,0.0495,0.04954048866610192,,48,1.7746358111708205e-12,1.5481310209716601e-13,3.0007583834244085e-12,2.6077026272394923e-11,1.061323873114787e-11,2.632123408119469e-10
boost,float64,0.07425000000000001,0.07438690143069122,,48,2.040447629246368e-12,1.105961357674496e-13,4.215257158320262e-12,2.7994064488786774e-11,1.1823173227491305e-11,2.3335577914451733e-10
boost,float64,0.099,0.09932534839764173,,48,2.5574989071945227e-12,1.0629493654134184e-13,3.902320793763709e-12,4.228904449082912e-11,1.1520402109129376e-11,2.2737389748783698e-10
boost,float64,0.12375,0.1243875737185151,,48,1.916758044137522e-12,1.0610312167724612e-13,2.28060374640744e-12,3.371780285182647e-11,1.3581148647819527e-11,3.2843971986551423e-10
boost,float64,0.14850000000000002,0.149606261013205,,48,3.6753142819234776e-12,1.362147697400658e-13,3.6081943794680196e-12,8.168126297270465e-11,1.719890419318859e-11,4.450610990858195e-10
boost,float64,0.17325000000000002,0.17501530140631247,,48,2.6501418728116187e-12,1.5972556172192383e-13,3.823532600816348e-12,3.3516427437653885e-11,1.1723106426581031e-11,2.3674084914659943e-10
boost,float64,0.198,0.20065008540444007,,48,2.4565716417631657e-12,9.860862853578252e-14,2.8769979348881166e-12,3.8977960173179666e-11,1.1875581392104909e-11,1.7913337480024438e-10
boost,float64,0.22275,0.2265478252403017,,48,2.1647730328682668e-12,9.730351883938688e-14,3.802663012513918e-12,3.105708973658892e-11,8.771308766114538e-12,1.6892554022263084e-10
